id,name,host_name,neighbourhood_group,price,last_review,license
41339,Porto city flat near the sea,Paula,PORTO,69,2025-09-09,29049/AL
55111,Fontielas Houses |Floor1 in House with shared Pool,Isabel E João,PAREDES,,2025-08-30,7563/AL
73828,Fontielas Houses |Floor0 in House with shared Pool,Isabel E João,PAREDES,,2025-08-31,7563/AL
87873,Oporto Apartment Triplex,Paula,PORTO,108,2025-09-14,634/AL
94701,Big TERRACE APARTMENT / city center,Gundega,PORTO,73,2025-09-15,85541/AL
96394,Boat Blue Days,Manuel,VILA NOVA DE GAIA,,2023-09-25,90/2015
100521,casa de praia,Isabel Morgado,VILA NOVA DE GAIA,,,
104045,Porto Sky Duplex Penthouse,Aida,PORTO,,2025-01-02,11205/AL
105347,Minha casinha / My little house,Manuel,VILA NOVA DE GAIA,77,2025-09-04,135964/AL
14820184,Single room near El Corte Inglés,Priscilla,VILA NOVA DE GAIA,25,2025-08-30,56031/2017
14820633,Single room near El corte inglés,Priscilla,VILA NOVA DE GAIA,21,2025-08-11,56031/AL
14821291,Casa do Caldas  - Suite 1,António,VILA DO CONDE,,2025-08-21,13611/AL
14824708,Terrace Apartment,Alexandra,PORTO,60,2025-08-20,56281/AL
14848151,Casa das Flores,Luis,SANTO TIRSO,57,2025-08-08,Exempt
14851194,City Centre Historic Suite #2,Manuel Steps 241,PORTO,53,2025-09-04,31983/AL
14853767,ABEL'S @ MARQUÊS - 2 OF 4,Abel,PORTO,67,2025-09-10,34514/AL
14856100,ABEL'S @ MARQUÊS - 3 OF 4,Abel,PORTO,59,2025-09-06,34516/AL
14856747,ABEL'S @ MARQUÊS - 4 OF 4,Abel,PORTO,52,2025-09-13,34237/AL
14856954,Porto 1870 Sunny Loft w/Balcony,Daniel,PORTO,95,2025-08-22,52604/AL
14865753,Infante Apartment,Filipa,PORTO,,2023-01-07,33003/AL
14877541,Porto Central  2,Conceição,PORTO,75,2025-08-30,15118/Al
14886712,Oportobestview-River,Jorge,PORTO,74,2025-08-10,37146/AL
14923525,Cozy Place with a Garden,Célia Pedro,MAIA,41,2025-09-20,48186/AL.
14938231,Ribeira Charming Apartment I (Renewed 2022),João,PORTO,143,2025-09-15,35739/AL
14964012,Ribeira Charming Apartment II,João,PORTO,120,2025-08-27,35741/AL
14976547,Oporto Thom beach apartment,Andre,VILA NOVA DE GAIA,64,2025-08-21,38847/AL
14978290,Serpa Beach House,Mário,MATOSINHOS,54,2025-09-09,135579/AL
14989688,Clerigos.H-Duplex Apartment (3.Floor),Elísio,PORTO,91,2025-09-05,23007/AL
1488491956277255682,Porto Blue House comfort,Antonio,PORTO,112,,154844/AL
1489066887975894113,Suíte Casa Aurora,Raquel,GONDOMAR,36,2025-09-09,168415/AL
1489129709567710680,Quarto de casal Azul,Raquel,GONDOMAR,33,2025-09-10,168415/AL
1489139384534496873,Blue Leça T0 3º andar/Frente,Inês,MATOSINHOS,100,,Exempt
